INFO 2026-02-16 10:39:41,743 api | POST /api/admin/members/ | Status=201 | User=admin | IP=172.20.114.119 | Lang=uz | 0.34s
INFO 2026-02-16 10:41:55,370 api | PATCH /api/admin/members/a33834f7-2b22-45c3-9ce6-9215c0ab059e/ | Status=200 | User=admin | IP=172.20.114.119 | Lang=uz | 0.03s
INFO 2026-02-16 10:42:07,886 api | PATCH /api/admin/members/a33834f7-2b22-45c3-9ce6-9215c0ab059e/ | Status=200 | User=admin | IP=172.20.114.119 | Lang=uz | 0.03s
INFO 2026-02-16 10:43:21,778 api | PATCH /api/admin/members/1cdba285-62f1-47b6-9118-3a68ea693b79/ | Status=200 | User=admin | IP=172.20.114.119 | Lang=uz | 0.02s
INFO 2026-02-16 10:45:08,284 api | PATCH /api/admin/members/ | Status=405 | User=Anonymous | IP=172.20.120.195 | Lang=uz | 0.00s
INFO 2026-02-16 10:46:59,127 api | PATCH /api/admin/projects/0d1712d5-8549-41af-a8cb-e9326bdfbd6a/ | Status=200 | User=admin | IP=172.20.114.119 | Lang=uz | 0.11s
INFO 2026-02-16 10:47:20,554 api | PATCH /api/admin/groups/is-active/1e2c5628-b705-43f7-b408-7dfa1f8a0a66 | Status=200 | User=admin | IP=172.20.114.119 | Lang=uz | 0.01s
INFO 2026-02-16 10:47:25,340 api | PATCH /api/admin/groups/is-active/1e2c5628-b705-43f7-b408-7dfa1f8a0a66 | Status=200 | User=admin | IP=172.20.114.119 | Lang=uz | 0.00s
INFO 2026-02-16 10:48:05,402 api | PATCH /api/admin/members/c35fd699-dcc6-4470-959c-6ef4e7bd160a/ | Status=200 | User=admin | IP=172.20.114.119 | Lang=uz | 0.01s
INFO 2026-02-16 10:53:10,187 api | POST /api/admin/member-status-change/ | Status=405 | User=Anonymous | IP=172.20.120.195 | Lang=uz | 0.00s
INFO 2026-02-16 10:53:13,033 api | PATCH /api/admin/member-status-change/ | Status=405 | User=Anonymous | IP=172.20.120.195 | Lang=uz | 0.00s
INFO 2026-02-16 10:53:29,228 api | PATCH /api/admin/member-status-change/ | Status=500 | User=Anonymous | IP=172.20.120.195 | Lang=uz | 0.03s
INFO 2026-02-16 10:53:51,977 api | PATCH /api/admin/member-status-change/ | Status=500 | User=Anonymous | IP=172.20.120.195 | Lang=uz | 0.03s
INFO 2026-02-16 10:54:04,409 api | PATCH /api/admin/member-status-change/ | Status=500 | User=Anonymous | IP=172.20.120.195 | Lang=uz | 0.05s
INFO 2026-02-16 10:54:38,751 api | PATCH /api/admin/member-status-change/ | Status=404 | User=Anonymous | IP=172.20.120.195 | Lang=uz | 0.01s
INFO 2026-02-16 10:54:48,712 api | PATCH /api/admin/member-status-change/1e2c5628b70543f7b4087dfa1f8a0a66 | Status=404 | User=Anonymous | IP=172.20.120.195 | Lang=uz | 0.02s
INFO 2026-02-16 10:54:50,991 api | PATCH /api/admin/member-status-change/1e2c5628b70543f7b4087dfa1f8a0a66/ | Status=404 | User=Anonymous | IP=172.20.120.195 | Lang=uz | 0.01s
INFO 2026-02-16 10:55:09,885 api | PATCH /api/admin/member-status-change/?group_id=1e2c5628b70543f7b4087dfa1f8a0a66 | Status=404 | User=Anonymous | IP=172.20.120.195 | Lang=uz | 0.01s
INFO 2026-02-16 10:57:05,101 api | PATCH /api/admin/member-status-change/?group_id=1e2c5628b70543f7b4087dfa1f8a0a66 | Status=404 | User=Anonymous | IP=172.20.120.195 | Lang=uz | 0.01s
INFO 2026-02-16 10:57:51,511 api | PATCH /api/admin/member-status-change/?group_id=1e2c5628b70543f7b4087dfa1f8a0a66 | Status=404 | User=Anonymous | IP=172.20.120.195 | Lang=uz | 0.01s
INFO 2026-02-16 10:57:52,466 api | PATCH /api/admin/member-status-change/c35fd699-dcc6-4470-959c-6ef4e7bd160a/ | Status=200 | User=admin | IP=172.20.114.119 | Lang=uz | 0.02s
INFO 2026-02-16 10:58:30,973 api | PATCH /api/admin/member-status-change/?group_id=1e2c5628b70543f7b4087dfa1f8a0a66 | Status=404 | User=Anonymous | IP=172.20.120.195 | Lang=uz | 0.01s
INFO 2026-02-16 10:58:34,718 api | PATCH /api/admin/member-status-change/1cdba285-62f1-47b6-9118-3a68ea693b79/ | Status=200 | User=admin | IP=172.20.114.119 | Lang=uz | 0.01s
INFO 2026-02-16 10:58:53,093 api | PATCH /api/admin/member-status-change/1cdba285-62f1-47b6-9118-3a68ea693b79/ | Status=200 | User=admin | IP=172.20.114.119 | Lang=uz | 0.01s
INFO 2026-02-16 10:59:00,945 api | PATCH /api/admin/member-status-change/1cdba285-62f1-47b6-9118-3a68ea693b79/ | Status=200 | User=admin | IP=172.20.114.119 | Lang=uz | 0.01s
INFO 2026-02-16 10:59:13,815 api | PATCH /api/admin/member-status-change/1cdba285-62f1-47b6-9118-3a68ea693b79/ | Status=400 | User=admin | IP=172.20.114.119 | Lang=uz | 0.01s
INFO 2026-02-16 10:59:38,504 api | PATCH /api/admin/member-status-change/1cdba285-62f1-47b6-9118-3a68ea693b79/ | Status=200 | User=admin | IP=172.20.114.119 | Lang=uz | 0.02s
INFO 2026-02-16 11:00:23,950 api | PATCH /api/admin/member-status-change/90c61f9b-7ac3-4638-adc7-95a7eb285320/ | Status=200 | User=admin | IP=172.20.114.119 | Lang=uz | 0.01s
INFO 2026-02-16 11:01:23,335 api | PATCH /api/admin/member-status-change/a33834f7-2b22-45c3-9ce6-9215c0ab059e/ | Status=200 | User=admin | IP=172.20.114.119 | Lang=uz | 0.01s
